Participant,What types of AOS data do you work with?
1,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
1,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
1,Tabular data
2,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
2,Tabular data
3,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
3,Tabular data
4,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
4,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
5,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
5,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
5,Tabular data
6,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
6,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
7,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
7,Tabular data
8,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
8,Tabular data
9,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
9,Tabular data
10,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
10,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
11,Tabular data
12,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
12,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
13,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
13,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
13,Tabular data
14,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
14,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
14,Tabular data
15,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
16,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
16,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
16,Tabular data
17,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
17,Tabular data
18,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
18,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
18,Tabular data
19,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
20,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
20,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
21,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
21,Tabular data
22,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
22,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
22,Tabular data
23,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
23,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
23,Tabular data
24,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
24,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
24,Tabular data
25,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
