Participant,What development environments do you regularly use for your Python coding?
1,Jupyter
2,Jupyter
2,Atom
3,Jupyter
3,Vim
3,bbedit
4,Jupyter
4,Vim
5,Jupyter
5,Sublime Text
6,Jupyter
7,Jupyter
7,Vim
8,Jupyter
9,Jupyter
9,Vim
10,Jupyter
10,Vim
10,VSCode
11,Vim
12,Jupyter
13,Jupyter
13,PyCharm
13,Vim
14,Jupyter
14,Spyder
15,Jupyter
15,Vim
15,VSCode
16,Jupyter
16,PyCharm
16,Vim
17,Jupyter
17,Vim
17,VSCode
18,Jupyter
18,Vim
19,Jupyter
19,Vim
20,Jupyter
20,Atom
21,Jupyter
21,Atom
22,Vim
23,Spyder
24,Jupyter
25,Jupyter
26,Jupyter
26,Vim
27,Jupyter
27,Notepad ++
28,Jupyter
28,PyCharm
28,VSCode
29,Jupyter
29,VSCode
30,Jupyter
30,Vim
30,VSCode
31,Vim
32,Jupyter
32,Spyder
32,Vim
33,Notepad ++
34,Jupyter
34,Vim
35,Jupyter
36,Jupyter
36,Spyder
36,Sublime Text
37,Jupyter
37,Atom
38,Jupyter
38,Sublime Text
39,Jupyter
39,Vim
39,VSCode
41,Jupyter
41,PyCharm
42,Jupyter
42,Emacs
43,PyCharm
43,VSCode
44,Jupyter
44,Vim
44,Emacs
45,Jupyter
46,Jupyter
46,Vim
46,Atom
47,Sublime Text
48,Jupyter
48,Spyder
49,Spyder
49,VSCode
50,Jupyter
50,Vim
50,VSCode
51,Jupyter
51,VSCode
52,Jupyter
53,Spyder
54,Vim
55,Jupyter
55,Spyder
55,Notepad ++
55,Vim
56,Vim
57,Jupyter
58,Jupyter
59,Jupyter
60,Jupyter
61,Jupyter
61,Spyder
62,Jupyter
63,Jupyter
64,Jupyter
65,Jupyter
66,Jupyter
67,Jupyter
67,PyCharm
67,Sublime Text
67,Vim
68,Jupyter
68,Vim
69,Jupyter
69,Vim
70,Jupyter
70,PyCharm
70,Vim
70,VSCode
71,Jupyter
71,Emacs
72,VSCode
73,Jupyter
73,Vim
74,Jupyter
74,Spyder
75,Spyder
76,Jupyter
77,Jupyter
77,Atom
78,Jupyter
78,Vim
79,Jupyter
79,Vim
79,VSCode
80,Jupyter
80,Spyder
82,Jupyter
82,Spyder
82,Vim
82,gedit
83,Jupyter
84,Jupyter
85,Jupyter
85,VSCode
86,Jupyter
86,Emacs
87,Jupyter
88,Jupyter
89,Jupyter
89,Spyder
90,Spyder
91,Vim
92,Jupyter
92,PyCharm
93,Jupyter
93,Vim
94,VSCode
95,Jupyter
96,VSCode
96,Emacs
97,Jupyter
97,Sublime Text
97,Vim
98,Jupyter
99,Jupyter
99,PyCharm
99,VSCode
100,Jupyter
100,PyCharm
101,Jupyter
101,Notepad ++
102,Notepad ++
103,Jupyter
103,VSCode
104,Spyder
104,Vim
105,Jupyter
105,PyCharm
105,Spyder
105,Sublime Text
105,VSCode
105,Atom
105,Google Colab
106,Jupyter
107,Jupyter
108,Jupyter
109,Jupyter
109,Atom
110,Jupyter
110,VSCode
111,Jupyter
111,Vim
112,Jupyter
113,Jupyter
113,Vim
114,Jupyter
114,Vim
115,Jupyter
115,PyCharm
115,Vim
116,Jupyter
116,Spyder
116,Notepad ++
117,Vim
118,Jupyter
118,PyCharm
119,Jupyter
120,Jupyter
120,PyCharm
121,Jupyter
121,Spyder
121,Vim
122,Jupyter
122,Vim
123,Jupyter
123,PyCharm
123,Sublime Text
124,Jupyter
125,Jupyter
125,VSCode
126,Jupyter
126,PyCharm
126,Vim
126,Atom
127,Jupyter
127,VSCode
128,Jupyter
128,Spyder
128,Vim
129,VSCode
130,Jupyter
130,Spyder
130,Emacs
131,Vim
132,Jupyter
132,Vim
133,Jupyter
133,PyCharm
133,Vim
134,Jupyter
135,Jupyter
135,Spyder
135,Vim
136,Jupyter
137,Jupyter
138,Jupyter
138,Atom
139,Jupyter
140,Jupyter
141,PyCharm
141,Sublime Text
142,Jupyter
143,Jupyter
143,PyCharm
143,Notepad ++
