Participant,What file formats are your AOS data stored in?
1,netCDF
1,Zarr
1,GeoTIFF
1,CSV
1,Shapefile
2,netCDF
2,Zarr
2,CSV
3,netCDF
3,CSV
4,netCDF
4,Zarr
4,Shapefile
5,netCDF
5,CSV
6,netCDF
7,netCDF
7,CSV
8,netCDF
8,CSV
8,GRIB
8,HDF
8,Plain text (ASCII)
9,netCDF
9,GeoTIFF
9,CSV
9,HDF
9,A custom binary format
10,netCDF
10,Zarr
10,GeoTIFF
10,CSV
10,GRIB
10,HDF
10,GeoJSON
10,Shapefile
11,netCDF
11,CSV
11,ICARTT
12,netCDF
12,GRIB
13,netCDF
13,Zarr
13,GeoTIFF
13,CSV
13,GRIB
13,Shapefile
13,A custom binary format
14,netCDF
14,CSV
15,netCDF
15,Zarr
15,CSV
15,GRIB
15,HDF
15,GeoJSON
16,netCDF
16,Zarr
16,GeoTIFF
16,CSV
16,GRIB
16,HDF
16,GeoJSON
16,ESRI File Geodatabase
16,A custom binary format
17,netCDF
17,CSV
17,GRIB
17,Shapefile
18,netCDF
18,GeoTIFF
18,CSV
18,HDF
18,Shapefile
19,netCDF
19,Zarr
19,CSV
19,GRIB
19,HDF
20,netCDF
20,CSV
21,netCDF
21,Zarr
22,netCDF
22,GeoTIFF
22,CSV
22,GRIB
22,HDF
23,netCDF
23,CSV
23,Shapefile
24,netCDF
24,CSV
24,GRIB
24,A custom binary format
24,Plain text (ASCII)
25,netCDF
25,CSV
25,Shapefile
26,netCDF
26,Zarr
27,netCDF
27,GRIB
28,netCDF
28,GRIB
28,A custom binary format
29,netCDF
29,Zarr
29,CSV
29,GRIB
29,HDF
30,netCDF
30,CSV
30,HDF
31,netCDF
31,CSV
31,GRIB
31,HDF
31,A custom binary format
32,netCDF
32,CSV
32,GRIB
32,Shapefile
32,A custom binary format
33,netCDF
33,GeoTIFF
33,CSV
33,GRIB
33,HDF
33,Shapefile
34,netCDF
34,CSV
34,A custom binary format
34,JSON
34,SQLite
35,netCDF
35,GeoTIFF
35,CSV
35,Shapefile
36,netCDF
36,CSV
36,GRIB
36,GeoJSON
36,Shapefile
37,netCDF
37,CSV
37,GRIB
38,netCDF
38,GeoTIFF
38,CSV
38,Shapefile
39,netCDF
39,Zarr
39,GeoTIFF
39,CSV
39,GRIB
40,netCDF
40,GRIB
40,HDF
40,A custom binary format
41,netCDF
41,GeoTIFF
41,CSV
41,GRIB
42,netCDF
42,GRIB
43,netCDF
43,GeoTIFF
43,CSV
43,GRIB
43,HDF
43,GeoJSON
43,Shapefile
43,A custom binary format
44,netCDF
44,CSV
44,GRIB
44,HDF
44,A custom binary format
45,netCDF
45,Zarr
45,CSV
45,GRIB
45,HDF
45,Shapefile
46,netCDF
46,Zarr
46,CSV
46,GRIB
46,Shapefile
47,netCDF
47,Zarr
47,CSV
47,GeoJSON
47,Shapefile
48,netCDF
48,CSV
48,GRIB
48,HDF
48,A custom binary format
49,netCDF
49,GeoTIFF
49,CSV
49,HDF
49,Shapefile
50,netCDF
50,GRIB
50,HDF
50,GeoJSON
50,Shapefile
51,netCDF
51,Zarr
51,GeoTIFF
51,GRIB
51,GeoParquet
52,netCDF
53,netCDF
53,GeoTIFF
53,CSV
53,HDF
53,Shapefile
54,netCDF
54,CSV
54,GRIB
54,HDF
54,Shapefile
55,netCDF
55,Zarr
55,GeoTIFF
55,CSV
55,GRIB
55,HDF
55,GeoJSON
55,GeoPackage
55,Shapefile
56,netCDF
57,netCDF
58,netCDF
59,netCDF
60,netCDF
61,netCDF
61,GeoTIFF
61,CSV
61,Shapefile
62,netCDF
62,CSV
63,netCDF
63,CSV
64,netCDF
64,CSV
65,netCDF
65,CSV
66,netCDF
66,CSV
67,netCDF
68,netCDF
68,Zarr
68,GeoTIFF
68,CSV
68,GRIB
68,GeoJSON
69,netCDF
69,GRIB
69,HDF
70,netCDF
70,CSV
70,GRIB
70,HDF
71,netCDF
71,Zarr
71,GeoTIFF
71,CSV
71,GRIB
71,HDF
71,GeoJSON
71,Shapefile
72,netCDF
73,netCDF
73,CSV
73,A custom binary format
74,netCDF
74,GRIB
74,NPY
75,netCDF
75,Shapefile
76,netCDF
76,GRIB
77,netCDF
77,CSV
78,netCDF
78,CSV
78,GRIB
78,HDF
79,netCDF
79,GeoTIFF
79,CSV
79,GRIB
79,A custom binary format
79,Audio
79,Images
79,Video
80,netCDF
80,CSV
80,Shapefile
82,netCDF
82,CSV
82,ICARTT
82,HDF
82,Shapefile
83,netCDF
84,netCDF
84,GeoTIFF
84,CSV
84,GeoJSON
84,GeoPackage
84,Shapefile
85,netCDF
85,Zarr
85,CSV
85,GRIB
85,HDF
85,Shapefile
86,netCDF
86,Zarr
87,netCDF
87,Zarr
88,netCDF
89,netCDF
90,netCDF
90,CSV
90,GRIB
91,netCDF
92,netCDF
92,Zarr
92,CSV
92,HDF
93,netCDF
93,CSV
94,netCDF
94,Zarr
94,CSV
94,GeoJSON
94,Shapefile
95,netCDF
95,Zarr
96,netCDF
97,netCDF
98,netCDF
99,netCDF
99,Zarr
99,GeoTIFF
99,CSV
99,GeoJSON
99,GeoPackage
99,Shapefile
99,A custom binary format
99,Relational Database
100,netCDF
100,GeoTIFF
100,CSV
100,HDF
100,Shapefile
101,netCDF
101,CSV
102,netCDF
102,GeoTIFF
102,CSV
102,Shapefile
103,netCDF
103,Zarr
103,GeoTIFF
103,CSV
103,GeoJSON
103,Shapefile
104,netCDF
104,CSV
104,GRIB
104,HDF
105,SQL
106,netCDF
106,Zarr
106,Shapefile
107,netCDF
107,Zarr
108,netCDF
108,HDF
109,netCDF
109,Zarr
109,GeoTIFF
109,CSV
109,GRIB
109,HDF
109,GeoJSON
110,netCDF
110,HDF
111,netCDF
111,CSV
111,SQL
112,netCDF
112,Zarr
112,CSV
113,netCDF
114,netCDF
114,Zarr
115,netCDF
116,netCDF
116,CSV
117,netCDF
117,Zarr
117,CSV
117,HDF
118,netCDF
119,netCDF
120,netCDF
120,GeoTIFF
120,ICARTT
120,GeoJSON
120,Shapefile
120,A custom binary format
121,netCDF
121,CSV
122,netCDF
122,CSV
122,GeoJSON
123,netCDF
123,CSV
123,A custom binary format
124,netCDF
125,netCDF
125,CSV
125,GRIB
126,netCDF
126,CSV
126,HDF
127,netCDF
127,CSV
128,netCDF
128,CSV
128,MAT
129,netCDF
129,GeoTIFF
130,netCDF
130,GeoTIFF
130,CSV
130,GRIB
130,GeoJSON
130,Shapefile
131,netCDF
131,CSV
132,netCDF
133,netCDF
133,CSV
133,GRIB
133,HDF
133,Shapefile
133,A custom binary format
134,netCDF
134,Zarr
134,GeoTIFF
134,CSV
134,GRIB
134,HDF
135,netCDF
135,CSV
136,netCDF
136,CSV
136,GRIB
137,netCDF
137,Zarr
137,CSV
138,netCDF
138,GeoTIFF
138,CSV
138,GeoJSON
138,GeoPackage
138,Shapefile
139,netCDF
139,Zarr
139,HDF
140,netCDF
141,netCDF
141,GeoTIFF
141,CSV
141,GeoJSON
141,Shapefile
141,ESRI File Geodatabase
142,netCDF
142,CSV
143,netCDF
143,Zarr
143,GRIB
143,HDF
143,GeoJSON
143,GeoPackage
143,Shapefile
143,ESRI File Geodatabase
