Participant,How have you learned Python?
1,"Self taught (from textbooks, online tutorials, etc)"
2,"Self taught (from textbooks, online tutorials, etc)"
3,"University semester course/s (e.g. ""Introduction to Programming"")"
3,"Workshop/s (e.g. Carpentries, Unidata)"
3,"Self taught (from textbooks, online tutorials, etc)"
4,"Self taught (from textbooks, online tutorials, etc)"
5,"Self taught (from textbooks, online tutorials, etc)"
6,"Self taught (from textbooks, online tutorials, etc)"
7,"Self taught (from textbooks, online tutorials, etc)"
8,"Self taught (from textbooks, online tutorials, etc)"
9,"Self taught (from textbooks, online tutorials, etc)"
10,"Workshop/s (e.g. Carpentries, Unidata)"
10,"Self taught (from textbooks, online tutorials, etc)"
11,"Self taught (from textbooks, online tutorials, etc)"
12,"Self taught (from textbooks, online tutorials, etc)"
13,"Workshop/s (e.g. Carpentries, Unidata)"
13,"Self taught (from textbooks, online tutorials, etc)"
14,"Self taught (from textbooks, online tutorials, etc)"
15,"Self taught (from textbooks, online tutorials, etc)"
16,"Self taught (from textbooks, online tutorials, etc)"
17,"University semester course/s (e.g. ""Introduction to Programming"")"
17,"Workshop/s (e.g. Carpentries, Unidata)"
17,"Self taught (from textbooks, online tutorials, etc)"
18,"Self taught (from textbooks, online tutorials, etc)"
19,"Self taught (from textbooks, online tutorials, etc)"
20,"University semester course/s (e.g. ""Introduction to Programming"")"
20,"Workshop/s (e.g. Carpentries, Unidata)"
20,"Self taught (from textbooks, online tutorials, etc)"
21,"Self taught (from textbooks, online tutorials, etc)"
22,"Self taught (from textbooks, online tutorials, etc)"
23,"Self taught (from textbooks, online tutorials, etc)"
24,"Workshop/s (e.g. Carpentries, Unidata)"
24,"Self taught (from textbooks, online tutorials, etc)"
25,"Workshop/s (e.g. Carpentries, Unidata)"
25,"Self taught (from textbooks, online tutorials, etc)"
26,"Self taught (from textbooks, online tutorials, etc)"
27,"Workshop/s (e.g. Carpentries, Unidata)"
27,"Self taught (from textbooks, online tutorials, etc)"
28,"Self taught (from textbooks, online tutorials, etc)"
29,"University semester course/s (e.g. ""Introduction to Programming"")"
29,"Workshop/s (e.g. Carpentries, Unidata)"
29,"Self taught (from textbooks, online tutorials, etc)"
30,"University semester course/s (e.g. ""Introduction to Programming"")"
30,"Workshop/s (e.g. Carpentries, Unidata)"
30,"Self taught (from textbooks, online tutorials, etc)"
31,"Workshop/s (e.g. Carpentries, Unidata)"
31,"Self taught (from textbooks, online tutorials, etc)"
32,"University semester course/s (e.g. ""Introduction to Programming"")"
32,"Self taught (from textbooks, online tutorials, etc)"
33,"Self taught (from textbooks, online tutorials, etc)"
34,"Workshop/s (e.g. Carpentries, Unidata)"
34,"Self taught (from textbooks, online tutorials, etc)"
35,"Workshop/s (e.g. Carpentries, Unidata)"
35,"Self taught (from textbooks, online tutorials, etc)"
36,"Self taught (from textbooks, online tutorials, etc)"
37,University degree (e.g. Bachelor of Software Engineering)
37,"Self taught (from textbooks, online tutorials, etc)"
38,University degree (e.g. Bachelor of Software Engineering)
39,University degree (e.g. Bachelor of Software Engineering)
39,"Self taught (from textbooks, online tutorials, etc)"
40,"Self taught (from textbooks, online tutorials, etc)"
40,"Workshop/s (e.g. Carpentries, Unidata)"
41,"Workshop/s (e.g. Carpentries, Unidata)"
41,"Self taught (from textbooks, online tutorials, etc)"
42,"Workshop/s (e.g. Carpentries, Unidata)"
42,"Self taught (from textbooks, online tutorials, etc)"
43,"Self taught (from textbooks, online tutorials, etc)"
44,"Self taught (from textbooks, online tutorials, etc)"
45,"Self taught (from textbooks, online tutorials, etc)"
46,"Workshop/s (e.g. Carpentries, Unidata)"
46,"Self taught (from textbooks, online tutorials, etc)"
