Participant,What computing platforms do you use for your AOS data science?
1,Personal laptop/desktop
1,Supercomputer (e.g. run by your institution or a national facility)
1,Cloud (e.g. Amazon Web Services)
2,Personal laptop/desktop
2,Supercomputer (e.g. run by your institution or a national facility)
2,Cloud (e.g. Amazon Web Services)
3,Personal laptop/desktop
3,Supercomputer (e.g. run by your institution or a national facility)
4,Personal laptop/desktop
4,Supercomputer (e.g. run by your institution or a national facility)
4,Cloud (e.g. Amazon Web Services)
5,Personal laptop/desktop
5,Supercomputer (e.g. run by your institution or a national facility)
6,Personal laptop/desktop
7,Personal laptop/desktop
7,Supercomputer (e.g. run by your institution or a national facility)
8,Personal laptop/desktop
8,Cloud (e.g. Amazon Web Services)
9,Personal laptop/desktop
9,Supercomputer (e.g. run by your institution or a national facility)
10,Supercomputer (e.g. run by your institution or a national facility)
11,Personal laptop/desktop
11,Cloud (e.g. Amazon Web Services)
12,Personal laptop/desktop
12,Supercomputer (e.g. run by your institution or a national facility)
12,Cloud (e.g. Amazon Web Services)
13,Personal laptop/desktop
13,Supercomputer (e.g. run by your institution or a national facility)
14,Personal laptop/desktop
15,Personal laptop/desktop
15,Supercomputer (e.g. run by your institution or a national facility)
15,Cloud (e.g. Amazon Web Services)
16,Personal laptop/desktop
16,Supercomputer (e.g. run by your institution or a national facility)
16,Cloud (e.g. Amazon Web Services)
17,Personal laptop/desktop
18,Personal laptop/desktop
19,Personal laptop/desktop
19,Supercomputer (e.g. run by your institution or a national facility)
20,Personal laptop/desktop
20,Supercomputer (e.g. run by your institution or a national facility)
21,Personal laptop/desktop
21,Supercomputer (e.g. run by your institution or a national facility)
22,Personal laptop/desktop
22,Supercomputer (e.g. run by your institution or a national facility)
22,Cloud (e.g. Amazon Web Services)
22,Local server (e.g. provided by your department)
23,Personal laptop/desktop
24,Personal laptop/desktop
24,Cloud (e.g. Amazon Web Services)
25,Personal laptop/desktop
25,Supercomputer (e.g. run by your institution or a national facility)
26,Personal laptop/desktop
26,Supercomputer (e.g. run by your institution or a national facility)
27,Personal laptop/desktop
28,Personal laptop/desktop
28,Cloud (e.g. Amazon Web Services)
29,Supercomputer (e.g. run by your institution or a national facility)
30,Personal laptop/desktop
30,Supercomputer (e.g. run by your institution or a national facility)
31,Personal laptop/desktop
32,Personal laptop/desktop
32,Supercomputer (e.g. run by your institution or a national facility)
33,Personal laptop/desktop
33,Supercomputer (e.g. run by your institution or a national facility)
34,Supercomputer (e.g. run by your institution or a national facility)
34,Cloud (e.g. Amazon Web Services)
35,Personal laptop/desktop
35,Cloud (e.g. Amazon Web Services)
36,Personal laptop/desktop
36,Local server (e.g. provided by your department)
37,Personal laptop/desktop
37,Cloud (e.g. Amazon Web Services)
38,Personal laptop/desktop
38,Supercomputer (e.g. run by your institution or a national facility)
39,Personal laptop/desktop
39,Cloud (e.g. Amazon Web Services)
40,Personal laptop/desktop
41,Personal laptop/desktop
41,Cloud (e.g. Amazon Web Services)
42,Personal laptop/desktop
43,Personal laptop/desktop
43,Cloud (e.g. Amazon Web Services)
44,Personal laptop/desktop
44,Supercomputer (e.g. run by your institution or a national facility)
45,Supercomputer (e.g. run by your institution or a national facility)
45,Cloud (e.g. Amazon Web Services)
46,Personal laptop/desktop
46,Supercomputer (e.g. run by your institution or a national facility)
47,Personal laptop/desktop
47,Cloud (e.g. Amazon Web Services)
48,Personal laptop/desktop
48,Supercomputer (e.g. run by your institution or a national facility)
49,Personal laptop/desktop
49,Supercomputer (e.g. run by your institution or a national facility)
50,Personal laptop/desktop
50,Cloud (e.g. Amazon Web Services)
51,Personal laptop/desktop
51,Cloud (e.g. Amazon Web Services)
52,Personal laptop/desktop
52,Supercomputer (e.g. run by your institution or a national facility)
53,Personal laptop/desktop
53,Supercomputer (e.g. run by your institution or a national facility)
54,Personal laptop/desktop
54,Supercomputer (e.g. run by your institution or a national facility)
55,Personal laptop/desktop
56,Personal laptop/desktop
56,Supercomputer (e.g. run by your institution or a national facility)
56,Cloud (e.g. Amazon Web Services)
57,Personal laptop/desktop
58,Personal laptop/desktop
59,Personal laptop/desktop
60,Personal laptop/desktop
61,Personal laptop/desktop
61,Cloud (e.g. Amazon Web Services)
62,Personal laptop/desktop
63,Personal laptop/desktop
64,Personal laptop/desktop
65,Personal laptop/desktop
66,Personal laptop/desktop
67,Personal laptop/desktop
67,Supercomputer (e.g. run by your institution or a national facility)
68,Personal laptop/desktop
68,Cloud (e.g. Amazon Web Services)
69,Personal laptop/desktop
69,Supercomputer (e.g. run by your institution or a national facility)
70,Personal laptop/desktop
70,Cloud (e.g. Amazon Web Services)
71,Personal laptop/desktop
71,Supercomputer (e.g. run by your institution or a national facility)
71,Local server (e.g. provided by your department)
72,Personal laptop/desktop
72,Supercomputer (e.g. run by your institution or a national facility)
73,Personal laptop/desktop
73,Supercomputer (e.g. run by your institution or a national facility)
74,Personal laptop/desktop
74,Supercomputer (e.g. run by your institution or a national facility)
